2022-02-02 14:00:50,642:Key.ctrl
2022-02-02 14:00:50,682:Key.shift
2022-02-02 14:00:50,722:'M'
2022-02-02 14:01:06,272:'k'
2022-02-02 14:01:06,442:'e'
2022-02-02 14:01:07,192:'r'
2022-02-02 14:01:07,603:'l'
2022-02-02 14:01:07,922:Key.backspace
2022-02-02 14:01:08,071:Key.backspace
2022-02-02 14:01:08,722:'y'
2022-02-02 14:01:08,962:'l'
2022-02-02 14:01:09,163:'o'
2022-02-02 14:01:09,443:'g'
2022-02-02 14:01:09,622:'g'
2022-02-02 14:01:09,832:'e'
2022-02-02 14:01:09,932:'4'
2022-02-02 14:01:09,942:'r'
2022-02-02 14:01:10,432:Key.backspace
2022-02-02 14:01:10,633:Key.backspace
2022-02-02 14:01:11,062:Key.backspace
2022-02-02 14:01:11,532:'r'
2022-02-02 14:01:11,882:Key.backspace
2022-02-02 14:01:12,012:'e'
2022-02-02 14:01:12,102:'r'
2022-02-02 14:01:13,042:'-'
2022-02-02 14:01:13,347:['´']
2022-02-02 14:01:13,612:'y'
2022-02-02 14:01:13,952:'t'
2022-02-02 14:01:14,292:Key.backspace
2022-02-02 14:01:14,432:Key.backspace
2022-02-02 14:01:15,702:'p'
2022-02-02 14:01:15,932:'t'
2022-02-02 14:01:16,242:'y'
2022-02-02 14:01:16,482:'h'
2022-02-02 14:01:16,642:'o'
2022-02-02 14:01:17,404:'n'
2022-02-02 14:01:18,352:Key.backspace
2022-02-02 14:01:18,532:Key.backspace
2022-02-02 14:01:18,692:Key.backspace
2022-02-02 14:01:18,852:Key.backspace
2022-02-02 14:01:18,992:Key.backspace
2022-02-02 14:01:19,702:'y'
2022-02-02 14:01:19,872:'t'
2022-02-02 14:01:19,922:'h'
2022-02-02 14:01:20,073:'o'
2022-02-02 14:01:20,252:'n'
2022-02-02 14:01:31,542:Key.cmd
2022-02-02 14:01:31,723:'e'
2022-02-02 14:02:06,062:'g'
2022-02-02 14:02:06,222:'i'
2022-02-02 14:02:06,432:'t'
2022-02-02 14:02:06,872:Key.backspace
2022-02-02 14:02:07,471:Key.backspace
2022-02-02 14:02:07,512:Key.backspace
2022-02-02 14:02:07,552:Key.backspace
2022-02-02 14:02:07,593:Key.backspace
2022-02-02 14:02:07,632:Key.backspace
2022-02-02 14:02:07,672:Key.backspace
2022-02-02 14:02:07,713:Key.backspace
2022-02-02 14:02:07,753:Key.backspace
2022-02-02 14:02:07,793:Key.backspace
2022-02-02 14:02:14,152:Key.ctrl
2022-02-02 14:02:14,242:Key.shift
2022-02-02 14:02:14,372:'V'
2022-02-02 14:02:15,102:Key.enter
2022-02-02 14:02:19,822:'g'
2022-02-02 14:02:19,942:'i'
2022-02-02 14:02:20,102:'t'
2022-02-02 14:02:20,182:Key.space
2022-02-02 14:02:20,322:'i'
2022-02-02 14:02:20,472:'n'
2022-02-02 14:02:20,642:'t'
2022-02-02 14:02:20,643:'i'
2022-02-02 14:02:21,222:Key.backspace
2022-02-02 14:02:21,384:Key.backspace
2022-02-02 14:02:21,652:'i'
2022-02-02 14:02:21,752:'t'
2022-02-02 14:02:21,952:Key.enter
2022-02-02 14:02:30,032:Key.ctrl
2022-02-02 14:02:30,104:Key.shift
2022-02-02 14:02:30,182:'V'
2022-02-02 14:02:31,292:Key.right
2022-02-02 14:02:31,602:Key.left
2022-02-02 14:02:32,162:Key.backspace
2022-02-02 14:02:32,761:Key.backspace
2022-02-02 14:02:32,801:Key.backspace
2022-02-02 14:02:32,841:Key.backspace
2022-02-02 14:02:32,882:Key.backspace
2022-02-02 14:02:32,922:Key.backspace
2022-02-02 14:02:32,963:Key.backspace
2022-02-02 14:02:33,003:Key.backspace
2022-02-02 14:02:33,043:Key.backspace
2022-02-02 14:02:33,222:Key.backspace
2022-02-02 14:02:33,513:Key.backspace
2022-02-02 14:02:33,782:Key.backspace
2022-02-02 14:02:35,342:'k'
2022-02-02 14:02:35,992:'e'
2022-02-02 14:02:36,122:'y'
2022-02-02 14:02:38,302:'l'
2022-02-02 14:02:38,554:'o'
2022-02-02 14:02:39,152:'g'
2022-02-02 14:02:39,312:'g'
2022-02-02 14:02:39,532:'e'
2022-02-02 14:02:39,603:'r'
2022-02-02 14:02:40,012:Key.enter
2022-02-02 14:02:50,482:'c'
2022-02-02 14:02:50,702:'l'
2022-02-02 14:02:50,892:'e'
2022-02-02 14:02:50,992:'a'
2022-02-02 14:02:51,053:'r'
2022-02-02 14:02:51,163:Key.enter
2022-02-02 14:02:57,493:Key.ctrl
2022-02-02 14:02:57,582:Key.shift
2022-02-02 14:02:57,672:'V'
2022-02-02 14:02:58,542:Key.enter
2022-02-02 14:03:04,812:Key.ctrl
2022-02-02 14:03:04,902:Key.shift
2022-02-02 14:03:04,962:'V'
2022-02-02 14:03:05,454:Key.enter
2022-02-02 14:03:12,992:Key.ctrl
2022-02-02 14:03:13,072:Key.shift
2022-02-02 14:03:13,222:'V'
2022-02-02 14:03:13,842:Key.enter
2022-02-02 14:03:19,332:Key.ctrl
2022-02-02 14:03:19,392:Key.shift
2022-02-02 14:03:19,442:'V'
2022-02-02 14:03:19,922:Key.enter
2022-02-02 14:03:30,082:'m'
2022-02-02 14:03:30,184:'a'
2022-02-02 14:03:30,312:'i'
2022-02-02 14:03:30,482:'n'
2022-02-02 14:03:30,842:Key.enter
